name,mB,sig_mB,z,sig_z
12860,19.52005,0.11295,0.12042,0.0
12928,19.76995,0.1308,0.13868,0.0
12971,20.92065,0.1527,0.2338,0.0
12977,21.0223,0.14645,0.24643,0.0
13025,21.0804,0.1546,0.22286,0.0
13045,20.2809,0.1225,0.17915,0.0
13070,20.5818,0.1167,0.19718,0.0
13072,20.99445,0.14355,0.22916,0.0
13099,21.45355,0.1665,0.26451,0.0
13135,19.10195,0.1007,0.10337,0.0
13305,20.73185,0.12325,0.21338,0.0
13354,19.944,0.1104,0.15653,0.0
13506,21.24885,0.15475,0.2434,0.0
13511,21.2481,0.14335,0.23652,0.0
13641,20.70195,0.1319,0.20852,0.0
13655,21.4064,0.1659,0.25104,0.0
13727,20.861,0.12955,0.22534,0.0
13757,21.45405,0.14295,0.28742,0.0
13830,21.65335,0.14295,0.32984,0.0
13835,21.128,0.1225,0.24603,0.0
13894,19.65185,0.142,0.11966,0.0
13934,22.21015,0.20955,0.32931,0.0
14157,20.57655,0.1203,0.21082,0.0
14212,20.7349,0.1164,0.20308,0.0
14261,21.2982,0.13635,0.28436,0.0
14284,20.13755,0.10565,0.18037,0.0
14298,21.31275,0.1521,0.2607,0.0
14437,19.8403,0.1023,0.14792,0.0
14456,21.80515,0.13855,0.32793,0.0
14481,21.3452,0.1569,0.24206,0.0
14846,20.93075,0.1281,0.22334,0.0
14984,20.58185,0.1376,0.1828,0.0
15132,20.0024,0.10245,0.15304,0.0
15171,19.70325,0.10245,0.13818,0.0
15201,21.03995,0.18575,0.20735,0.0
15203,20.64165,0.1209,0.20313,0.0
15222,20.49105,0.129,0.19801,0.0
15229,20.9356,0.1392,0.22256,0.0
15356,21.30625,0.14505,0.2734,0.0
15365,20.52515,0.11385,0.18651,0.0
15425,19.83815,0.1054,0.15935,0.0
15433,20.8854,0.1261,0.21935,0.0
15453,20.4812,0.1283,0.17373,0.0
15466,20.96025,0.1449,0.24436,0.0
15508,19.59395,0.101,0.13353,0.0
15584,21.4441,0.13595,0.28332,0.0
15648,20.3284,0.1373,0.17383,0.0
15674,20.70795,0.1369,0.19654,0.0
15704,22.26255,0.14325,0.36952,0.0
15872,20.5658,0.12095,0.20548,0.0
15897,20.28215,0.12665,0.17357,0.0
16069,19.526,0.1097,0.12688,0.0
16072,21.474,0.15145,0.28434,0.0
16100,20.5958,0.1361,0.19392,0.0
16185,18.95705,0.11145,0.10018,0.0
16232,22.3047,0.0854,0.37425,0.0
16259,19.35185,0.11365,0.11771,0.0
16276,20.5315,0.1404,0.19176,0.0
16350,21.01435,0.146,0.23684,0.0
17171,19.99615,0.1245,0.15899,0.0
17186,18.7576,0.11205,0.07877,0.0
17208,19.99935,0.13335,0.13864,0.0
17223,20.88475,0.1537,0.23381,0.0
17253,20.02475,0.15485,0.15689,0.0
17258,18.4809,0.11615,0.08806,0.0
17280,19.79635,0.12165,0.13045,0.0
17332,20.3359,0.12625,0.18203,0.0
17340,21.13985,0.14805,0.25625,0.0
17435,20.8123,0.13625,0.21674,0.0
17605,19.90865,0.1399,0.14533,0.0
17629,19.58645,0.1105,0.13639,0.0
17801,20.934,0.1568,0.20515,0.0
18091,22.04745,0.1558,0.36976,0.0
18415,19.61205,0.10875,0.1294,0.0
18463,21.33225,0.14765,0.26687,0.0
18485,21.3866,0.13915,0.27822,0.0
18604,20.5056,0.1317,0.17483,0.0
18612,19.1271,0.10675,0.11364,0.0
18650,19.38095,0.1026,0.11242,0.0
18740,19.8424,0.10465,0.15317,0.0
18768,20.7379,0.13845,0.19671,0.0
18787,20.88525,0.12885,0.18914,0.0
18807,20.47675,0.1273,0.17625,0.0
19008,20.7809,0.13945,0.21757,0.0
19101,20.33785,0.1283,0.18563,0.0
19174,20.0237,0.11915,0.16356,0.0
19207,21.34695,0.16715,0.25721,0.0
19543,19.58065,0.13445,0.12164,0.0
19616,20.09405,0.10665,0.16455,0.0
19658,20.6407,0.1317,0.19862,0.0
19702,21.39935,0.16265,0.26821,0.0
19757,22.165,0.1348,0.40128,0.0
19940,19.6731,0.12755,0.14581,0.0
19968,17.56165,0.10915,0.05573,0.0
19992,21.16495,0.15345,0.22452,0.0
20040,21.42305,0.15585,0.28655,0.0
20048,20.55265,0.14145,0.18388,0.0
20064,18.96075,0.10555,0.10351,0.0
20106,22.03,0.19055,0.33136,0.0
20144,20.76195,0.1415,0.21865,0.0
20345,21.035,0.1514,0.26357,0.0
20430,20.2483,0.1303,0.16284,0.0
20625,19.2184,0.10455,0.10683,0.0
20764,20.0849,0.11585,0.16477,0.0
21034,19.24475,0.10865,0.1075,0.0
22075,19.5083,0.1143,0.12899,0.0
2001ah,17.71775,0.12625,0.05948,0.0
2001az,17.0528,0.11665,0.04093,0.0
2001da,14.85645,0.1832,0.01705,0.0
2001en,14.59755,0.1613,0.01531,0.0
2001fe,14.6158,0.14905,0.01472,0.0
2001gb,15.97105,0.16165,0.02673,0.0
2001G,14.8718,0.1587,0.01732,0.0
2001ic,16.72085,0.19805,0.04437,0.0
2001V,14.4307,0.15405,0.01567,0.0
2002bf,15.6593,0.1718,0.02477,0.0
2002bz,16.7664,0.13185,0.038,0.0
2002ck,16.2413,0.123,0.0299,0.0
2002cr,13.90745,0.19825,0.01012,0.0
2002de,16.1648,0.1376,0.0258,0.0
2002dp,14.0496,0.2048,0.01038,0.0
2002eu,16.5851,0.2001,0.03791,0.0
2002G,16.45115,0.16785,0.03507,0.0
2002ha,14.4486,0.171,0.01268,0.0
2002he,15.82815,0.13295,0.02525,0.0
2002kf,15.3534,0.14115,0.01908,0.0
2003ae,16.36835,0.1667,0.03489,0.0
2003ch,16.3438,0.12735,0.0295,0.0
2003cq,16.57565,0.1563,0.03416,0.0
2003fa,16.7928,0.1127,0.04067,0.0
2003hu,17.8882,0.1248,0.07515,0.0
2003ic,17.23215,0.12285,0.05581,0.0
2003it,15.7896,0.1405,0.02529,0.0
2003iv,16.6581,0.12485,0.03501,0.0
2003U,16.0051,0.13405,0.02846,0.0
2004as,16.64085,0.12525,0.0328,0.0
2004L,16.38795,0.1403,0.03378,0.0
2005hc,17.2822,0.1025,0.04597,0.0
2005hf,16.93145,0.1209,0.04341,0.0
2005hj,17.73355,0.1203,0.05684,0.0
2005ki,15.2868,0.12735,0.02024,0.0
2005lu,16.59205,0.12775,0.03191,0.0
2005lz,16.9967,0.1259,0.0415,0.0
2005mc,15.93305,0.1399,0.02639,0.0
2005ms,16.06745,0.1248,0.02651,0.0
2005na,15.87545,0.126,0.02689,0.0
2006ac,15.6236,0.1338,0.02349,0.0
2006ah,17.57225,0.158,0.05067,0.0
2006ak,16.7302,0.1297,0.04093,0.0
2006al,18.16815,0.11055,0.06877,0.0
2006ax,14.9841,0.1341,0.01754,0.0
2006bb,15.8607,0.1496,0.02557,0.0
2006bq,15.53085,0.1381,0.02189,0.0
2006bw,16.1279,0.14115,0.03155,0.0
2006cj,18.31035,0.1248,0.06845,0.0
2006cp,15.56975,0.1391,0.02249,0.0
2006cq,17.32405,0.12545,0.04949,0.0
2006en,16.3736,0.12625,0.03161,0.0
2006gr,16.61295,0.1249,0.03434,0.0
2006gt,17.2055,0.14795,0.04486,0.0
2006hb,14.74935,0.1526,0.01531,0.0
2006is,16.25295,0.1342,0.03048,0.0
2006je,16.9021,0.16555,0.03837,0.0
2006mo,16.77055,0.12655,0.03682,0.0
2006mp,15.7795,0.13695,0.0221,0.0
2006N,14.64805,0.16195,0.01402,0.0
2006oa,17.792,0.11395,0.0589,0.0
2006ob,17.7707,0.10045,0.05895,0.0
2006on,18.1778,0.15105,0.06888,0.0
2006or,15.7067,0.156,0.0204,0.0
2006qo,16.02685,0.1316,0.02894,0.0
2006sr,15.7013,0.1335,0.02384,0.0
2006td,14.89705,0.16765,0.01451,0.0
2006te,16.452,0.1185,0.03292,0.0
2007ae,17.78945,0.1136,0.06455,0.0
2007ap,15.01385,0.15025,0.01663,0.0
2007ar,17.4687,0.1439,0.05359,0.0
2007bd,16.21965,0.11945,0.03163,0.0
2007co,15.9978,0.1291,0.02751,0.0
2007cq,15.5514,0.1259,0.02559,0.0
2007F,15.78645,0.12635,0.02401,0.0
2007O,16.56045,0.1177,0.03713,0.0
2008af,16.39975,0.12455,0.03408,0.0
2008bf,15.6001,0.1278,0.02454,0.0
2008L,14.91335,0.1531,0.01697,0.0
2007A,15.17685,0.15115,0.01629,0.0
2007aj,16.34225,0.12125,0.03184,0.0
2007cb,16.74885,0.12725,0.037,0.0
2007cc,15.8648,0.1457,0.02932,0.0
2007fb,15.26595,0.1485,0.0174,0.0
2007hu,16.59205,0.1761,0.03578,0.0
2007is,16.04785,0.1364,0.02845,0.0
2007kh,17.2903,0.16335,0.05035,0.0
2007kk,16.93325,0.117,0.04269,0.0
2007ob,16.23615,0.1431,0.03212,0.0
2007su,16.0669,0.14255,0.02752,0.0
2007ux,16.28725,0.1419,0.03049,0.0
2008C,14.9294,0.1556,0.01724,0.0
2008Y,18.05925,0.1229,0.07063,0.0
2008ac,17.62205,0.1398,0.05344,0.0
2008ar,16.10835,0.12155,0.02878,0.0
2008at,16.42245,0.15235,0.03518,0.0
2008bw,16.4802,0.15235,0.03348,0.0
2008by,17.18185,0.11625,0.04651,0.0
2008bz,17.9246,0.11905,0.06119,0.0
2008cf,17.16275,0.12315,0.04714,0.0
2008ds,15.4466,0.1437,0.0212,0.0
2008fr,16.8206,0.11335,0.04028,0.0
2008gb,16.86145,0.1275,0.03863,0.0
2008gl,16.39225,0.12215,0.03314,0.0
2009D,15.68035,0.1291,0.02414,0.0
2009ad,16.1044,0.12155,0.02837,0.0
2009an,13.9248,0.20035,0.01043,0.0
2009ds,15.42955,0.14185,0.02038,0.0
2008050,16.9842,0.14465,0.0471,0.0
2008051,16.7074,0.1146,0.03984,0.0
2009kk,14.4566,0.1737,0.0122,0.0
2009kq,14.2811,0.1749,0.01271,0.0
2009le,14.9354,0.1562,0.01763,0.0
2009na,15.502,0.13615,0.02171,0.0
2009nq,14.86115,0.1939,0.01572,0.0
2010A,15.27645,0.15785,0.01972,0.0
2010H,14.92685,0.15925,0.01678,0.0
2010Y,14.4674,0.17765,0.01226,0.0
2010dt,17.57915,0.12805,0.05322,0.0
PTF10bjs,15.88935,0.45085,0.03055,0.0
2004ef,16.1733,0.12025,0.03001,0.0
2004eo,14.6193,0.15445,0.01506,0.0
2004ey,14.6705,0.1456,0.0153,0.0
2004gu,17.1679,0.1151,0.04713,0.0
2005be,16.515,0.1148,0.03411,0.0
2005bo,14.53545,0.1635,0.0152,0.0
2005el,14.69915,0.1491,0.01504,0.0
2005eq,16.23455,0.1179,0.02763,0.0
2005iq,16.59355,0.1061,0.03359,0.0
2005kc,14.6408,0.16555,0.01447,0.0
2005M,15.86575,0.1242,0.02547,0.0
2006bh,14.0086,0.18445,0.01082,0.0
2006ef,15.1,0.1498,0.01741,0.0
2006ej,15.30565,0.1353,0.02031,0.0
2006eq,17.4344,0.12175,0.04819,0.0
2006et,15.3918,0.13205,0.02223,0.0
2006ev,16.3465,0.12485,0.02811,0.0
2006lu,17.4521,0.1018,0.05458,0.0
2006py,17.60445,0.1094,0.05721,0.0
2007bc,15.36595,0.1368,0.02091,0.0
2007ca,14.99535,0.1656,0.01454,0.0
2007nq,16.97675,0.10685,0.0431,0.0
2008bq,16.3843,0.1205,0.03273,0.0
2008gp,16.35135,0.11105,0.03399,0.0
2008hv,14.47835,0.15385,0.01382,0.0
1993ac,17.42035,0.1224,0.05092,0.0
1993ae,15.0558,0.1465,0.01752,0.0
1994M,15.64995,0.13485,0.02482,0.0
1994Q,16.09165,0.13605,0.0288,0.0
1994S,14.7589,0.1525,0.01568,0.0
1995ak,15.36745,0.1436,0.02197,0.0
1996bl,16.4701,0.12025,0.03426,0.0
1996bv,14.6697,0.1558,0.01698,0.0
1996C,16.23595,0.1341,0.02752,0.0
1997dg,16.6071,0.12105,0.03438,0.0
1997E,14.55605,0.17285,0.01318,0.0
1997Y,14.9156,0.1511,0.01726,0.0
1998dk,13.9791,0.1914,0.01209,0.0
1998dx,17.3218,0.11385,0.05418,0.0
1998ec,15.45455,0.1578,0.0197,0.0
1998ef,14.6312,0.14705,0.01662,0.0
1998eg,15.8239,0.13525,0.02398,0.0
1999cc,16.31895,0.12075,0.03144,0.0
1999dq,14.1903,0.1716,0.01291,0.0
1999ef,16.99715,0.1201,0.03827,0.0
1999ej,14.9486,0.16405,0.01532,0.0
1999X,15.91835,0.1425,0.02643,0.0
2000B,15.02285,0.15165,0.0202,0.0
2000cf,16.8196,0.11505,0.0373,0.0
2000cn,15.66265,0.13895,0.02348,0.0
2000dk,14.8831,0.1518,0.01635,0.0
2000fa,15.5348,0.13625,0.02275,0.0
000006,21.0138,0.14645,0.2305,0.0
000011,22.52675,0.14085,0.3812,0.0
000034,21.09145,0.11245,0.2534,0.0
000091,19.93715,0.11585,0.1526,0.0
000142,22.84545,0.14185,0.4365,0.0
000190,19.15365,0.1077,0.1023,0.0
000199,22.12745,0.10645,0.3712,0.0
000215,22.7822,0.11645,0.4661,0.0
000236,20.50135,0.109,0.1959,0.0
000420,21.7417,0.10825,0.3112,0.0
010026,16.472,0.1289,0.0322,0.0
020027,19.29245,0.12085,0.1098,0.0
020096,20.723,0.12425,0.2255,0.0
020176,21.22765,0.12265,0.2604,0.0
030066,20.8629,0.1228,0.2253,0.0
040137,22.59905,0.1524,0.4474,0.0
040166,22.85455,0.16925,0.4399,0.0
040782,21.74045,0.14605,0.3374,0.0
050005,22.8422,0.14315,0.5283,0.0
050203,23.2359,0.14515,0.5761,0.0
050251,22.3891,0.15885,0.3876,0.0
050293,21.92755,0.1335,0.36,0.0
050301,21.7912,0.14045,0.347,0.0
050607,22.56615,0.132,0.4391,0.0
070955,21.8575,0.11575,0.3492,0.0
080723,22.5444,0.12545,0.4305,0.0
090201,22.7793,0.14135,0.5088,0.0
091869,21.4826,0.1256,0.2888,0.0
100090,20.49025,0.1308,0.1727,0.0
100163,21.8387,0.1521,0.318,0.0
100213,21.50715,0.1382,0.2752,0.0
100405,18.90405,0.12325,0.103,0.0
110033,20.5539,0.15765,0.2049,0.0
110478,21.2449,0.1389,0.2647,0.0
110536,20.8644,0.19515,0.2348,0.0
110567,20.73405,0.17345,0.2145,0.0
110719,23.03515,0.17065,0.4276,0.0
110734,22.2536,0.149,0.4019,0.0
120085,21.54775,0.14025,0.3218,0.0
120094,22.72345,0.12465,0.4512,0.0
120336,20.07365,0.12015,0.1612,0.0
120400,22.05965,0.1158,0.3512,0.0
120585,21.02715,0.11585,0.2492,0.0
130308,18.52945,0.1223,0.0822,0.0
130514,19.1167,0.10015,0.1056,0.0
130862,22.0508,0.14375,0.3327,0.0
140181,19.0531,0.1106,0.1022,0.0
150509,21.4896,0.1351,0.2928,0.0
151034,19.53775,0.0994,0.1326,0.0
160039,21.22425,0.12,0.2707,0.0
160099,19.0807,0.10935,0.1004,0.0
160197,22.1458,0.14555,0.3536,0.0
160200,22.599,0.2655,0.4235,0.0
170428,21.71085,0.11935,0.3001,0.0
180166,19.88745,0.11365,0.1476,0.0
180561,20.96525,0.12895,0.2288,0.0
190230,19.82205,0.1072,0.1388,0.0
190260,19.88005,0.10815,0.1436,0.0
300105,18.9547,0.1139,0.0919,0.0
310025,20.1239,0.12545,0.1568,0.0
310042,21.19555,0.2471,0.2388,0.0
310073,20.15155,0.16675,0.1496,0.0
310091,22.9937,0.1404,0.5078,0.0
310161,21.20755,0.11325,0.2528,0.0
310238,21.3163,0.1146,0.2842,0.0
