Gal,logP,mW,sig_mW,Fe/H,z,V-I
N2442,1.3877456596088638,24.28206,0.67,0.40300000000000047,0.004889999999999999,1.29
N2442,1.388278863459639,23.99028,0.56,0.24099999999999966,0.004889999999999999,2.02
N2442,1.3918169236132487,24.64274,0.44,0.07900000000000063,0.004889999999999999,1.91
N2442,1.3981136917305026,24.139760000000003,0.61,-0.051000000000000156,0.004889999999999999,1.84
N2442,1.3998467127129224,24.79872,0.5,0.013999999999999346,0.004889999999999999,1.48
N2442,1.401055725771844,24.12574,0.59,0.027000000000001023,0.004889999999999999,1.41
N2442,1.4056877866727775,23.67906,0.43,0.17099999999999937,0.004889999999999999,1.79
N2442,1.4070508148042504,24.732400000000002,0.54,0.19100000000000072,0.004889999999999999,1.6
N2442,1.4077307280263354,24.04766,0.54,0.3819999999999997,0.004889999999999999,1.69
N2442,1.4085791254086675,24.3573,0.49,0.1620000000000008,0.004889999999999999,1.95
N2442,1.4102709642521845,24.07172,0.36,0.2970000000000006,0.004889999999999999,0.98
N2442,1.4104397862103466,24.5561,0.59,0.06400000000000006,0.004889999999999999,1.15
N2442,1.413467412985825,24.595399999999998,0.52,0.06300000000000061,0.004889999999999999,1.1
N2442,1.4191293077419758,24.77522,0.54,0.120000000000001,0.004889999999999999,1.23
N2442,1.4209454059219722,23.87416,0.43,0.0730000000000004,0.004889999999999999,1.44
N2442,1.4219328132785085,24.311539999999997,0.53,-0.07199999999999918,0.004889999999999999,1.11
N2442,1.4220971631317103,24.22188,0.45,-0.08699999999999974,0.004889999999999999,1.42
N2442,1.426023015689876,23.69818,0.48,-0.1479999999999997,0.004889999999999999,1.87
N2442,1.4323277922616042,24.80784,0.51,0.04899999999999949,0.004889999999999999,1.56
N2442,1.433449793761596,23.91976,0.47,-0.0039999999999995595,0.004889999999999999,1.84
N2442,1.4358443659844413,23.95732,0.6,0.2810000000000006,0.004889999999999999,1.38
N2442,1.4394905903896835,24.0175,0.56,0.24099999999999966,0.004889999999999999,1.25
N2442,1.4415380387021608,23.884680000000003,0.5,0.4190000000000005,0.004889999999999999,1.62
N2442,1.442009159140952,24.1368,0.43,0.3460000000000001,0.004889999999999999,1.2
N2442,1.4437322414015967,24.51558,0.66,0.22100000000000009,0.004889999999999999,0.97
N2442,1.4569730136358179,24.5947,0.56,0.06400000000000006,0.004889999999999999,1.05
N2442,1.4569730136358179,23.692580000000003,0.69,0.27999999999999936,0.004889999999999999,1.47
N2442,1.4649364291217326,23.700819999999997,0.44,-0.18399999999999928,0.004889999999999999,1.63
N2442,1.4690852991231205,23.49416,0.42,-0.15499999999999936,0.004889999999999999,1.44
N2442,1.4693801358499252,23.96084,0.47,0.15200000000000102,0.004889999999999999,1.06
N2442,1.4734869700645683,23.66766,0.6,0.3200000000000003,0.004889999999999999,1.69
N2442,1.4743619760326307,23.49326,0.57,0.25900000000000034,0.004889999999999999,2.09
N2442,1.4746532533620627,23.959760000000003,0.59,0.391,0.004889999999999999,1.84
N2442,1.474944335465388,24.02608,0.43,0.027000000000001023,0.004889999999999999,1.72
N2442,1.4763968267253302,23.72836,0.6,0.370000000000001,0.004889999999999999,1.74
N2442,1.476976465759527,24.1831,0.55,-0.06899999999999906,0.004889999999999999,1.65
N2442,1.4820155764507117,24.01714,0.45,0.36100000000000065,0.004889999999999999,1.51
N2442,1.4855794769846786,24.220319999999997,0.65,0.2680000000000007,0.004889999999999999,0.88
N2442,1.4889735247265081,24.18152,0.62,0.12700000000000067,0.004889999999999999,1.68
N2442,1.4909412053567868,23.451,0.47,0.05600000000000094,0.004889999999999999,1.5
N2442,1.5206145218782359,24.14256,0.4,0.28200000000000003,0.004889999999999999,2.04
N2442,1.5240064455573725,23.75046,0.38,-0.12299999999999933,0.004889999999999999,1.89
N2442,1.5272431163880886,23.32188,0.64,0.2560000000000002,0.004889999999999999,1.42
N2442,1.5322446436265822,22.803620000000002,0.52,-0.0470000000000006,0.004889999999999999,1.83
N2442,1.534026106056135,24.21046,0.68,-0.04499999999999993,0.004889999999999999,1.89
N2442,1.5363058723510337,24.07416,0.56,0.002000000000000668,0.004889999999999999,1.44
N2442,1.5364321758220134,23.724680000000003,0.38,0.2550000000000008,0.004889999999999999,1.62
N2442,1.537063142781617,24.54206,0.49,0.277000000000001,0.004889999999999999,1.29
N2442,1.5385737338068557,23.871699999999997,0.51,-0.10299999999999976,0.004889999999999999,1.55
N2442,1.5464192668351917,23.81432,0.61,0.3569999999999993,0.004889999999999999,1.88
N2442,1.5482665451707454,23.4238,0.53,-0.10699999999999932,0.004889999999999999,1.7
N2442,1.550961752298176,23.2552,0.5,-0.09600000000000009,0.004889999999999999,1.8
N2442,1.5560611590095326,24.09836,0.43,-0.24900000000000055,0.004889999999999999,1.74
