Gal,logP,mW,sig_mW,O/H,z,mu,sig_mu
N4258,0.8014723135214711,24.859099999999998,0.56,8.871,0.00149,29.397,0.032
N4258,0.8598585204809929,23.948040000000002,0.56,8.901,0.00149,29.397,0.032
N4258,0.8811563210755636,23.377679999999998,0.42,8.901,0.00149,29.397,0.032
N4258,1.044539760392411,23.147499999999997,0.43,8.889,0.00149,29.397,0.032
N4258,1.1169396465507557,23.21908,0.32,8.81,0.00149,29.397,0.032
N4258,1.2445245115700838,22.9068,0.23,8.834,0.00149,29.397,0.032
N4258,1.245018870737753,22.88838,0.26,8.887,0.00149,29.397,0.032
N4258,1.2678754193188977,23.04014,0.22,8.852,0.00149,29.397,0.032
N4258,1.4122925093230465,22.2047,0.21,8.894,0.00149,29.397,0.032
N4258,0.9720175986740154,23.0561,0.23,8.8,0.00149,29.397,0.032
LMC,1.482,10.966,0.021,-0.3,0.92,18.477,0.0263
LMC,1.367,11.406,0.023,-0.3,0.92,18.477,0.0263
LMC,1.566,10.787,0.045,-0.3,0.92,18.477,0.0263
LMC,1.595,10.598,0.02,-0.3,0.92,18.477,0.0263
LMC,1.553,10.824,0.029,-0.3,0.92,18.477,0.0263
LMC,1.199,11.895,0.025,-0.3,0.92,18.477,0.0263
LMC,1.502,10.895,0.039,-0.3,0.92,18.477,0.0263
LMC,0.828,13.171,0.03,-0.3,0.92,18.477,0.0263
LMC,1.134,12.308,0.029,-0.3,0.92,18.477,0.0263
LMC,1.166,12.056,0.021,-0.3,0.92,18.477,0.0263
LMC,1.316,11.552,0.04,-0.3,0.92,18.477,0.0263
LMC,1.085,12.541,0.024,-0.3,0.92,18.477,0.0263
LMC,1.161,12.004,0.034,-0.3,0.92,18.477,0.0263
LMC,0.924,13.01,0.024,-0.3,0.92,18.477,0.0263
LMC,1.035,12.566,0.03,-0.3,0.92,18.477,0.0263
LMC,1.243,11.884,0.042,-0.3,0.92,18.477,0.0263
LMC,1.029,12.55,0.021,-0.3,0.92,18.477,0.0263
LMC,1.101,12.359,0.044,-0.3,0.92,18.477,0.0263
LMC,1.086,12.369,0.025,-0.3,0.92,18.477,0.0263
LMC,1.348,11.56,0.03,-0.3,0.92,18.477,0.0263
LMC,1.411,11.314,0.025,-0.3,0.92,18.477,0.0263
LMC,0.987,12.625,0.024,-0.3,0.92,18.477,0.0263
LMC,1.235,11.791,0.035,-0.3,0.92,18.477,0.0263
LMC,1.314,11.904,0.031,-0.3,0.92,18.477,0.0263
LMC,1.203,12.107,0.028,-0.3,0.92,18.477,0.0263
LMC,0.971,12.796,0.022,-0.3,0.92,18.477,0.0263
LMC,0.868,13.027,0.022,-0.3,0.92,18.477,0.0263
LMC,0.92,12.917,0.024,-0.3,0.92,18.477,0.0263
LMC,1.111,12.317,0.019,-0.3,0.92,18.477,0.0263
LMC,1.676,10.483,0.025,-0.3,0.92,18.477,0.0263
LMC,1.104,12.347,0.029,-0.3,0.92,18.477,0.0263
LMC,1.242,11.85,0.032,-0.3,0.92,18.477,0.0263
LMC,1.101,12.382,0.024,-0.3,0.92,18.477,0.0263
LMC,1.022,12.529,0.022,-0.3,0.92,18.477,0.0263
LMC,1.492,11.053,0.045,-0.3,0.92,18.477,0.0263
LMC,1.723,10.067,0.073,-0.3,0.92,18.477,0.0263
LMC,1.16,12.119,0.024,-0.3,0.92,18.477,0.0263
LMC,1.266,11.873,0.022,-0.3,0.92,18.477,0.0263
LMC,1.482,11.06,0.022,-0.3,0.92,18.477,0.0263
LMC,1.27,11.706,0.026,-0.3,0.92,18.477,0.0263
LMC,1.074,12.41,0.053,-0.3,0.92,18.477,0.0263
LMC,0.899,12.853,0.054,-0.3,0.92,18.477,0.0263
LMC,0.834,13.222,0.027,-0.3,0.92,18.477,0.0263
LMC,0.838,13.24,0.031,-0.3,0.92,18.477,0.0263
LMC,0.862,13.088,0.02,-0.3,0.92,18.477,0.0263
LMC,0.897,13.102,0.026,-0.3,0.92,18.477,0.0263
LMC,0.938,12.803,0.031,-0.3,0.92,18.477,0.0263
LMC,0.83,13.31,0.031,-0.3,0.92,18.477,0.0263
LMC,1.01,12.669,0.027,-0.3,0.92,18.477,0.0263
LMC,0.876,13.007,0.025,-0.3,0.92,18.477,0.0263
LMC,0.789,13.368,0.032,-0.3,0.92,18.477,0.0263
LMC,0.912,12.872,0.024,-0.3,0.92,18.477,0.0263
LMC,0.828,13.169,0.026,-0.3,0.92,18.477,0.0263
LMC,1.13,12.306,0.021,-0.3,0.92,18.477,0.0263
LMC,1.123,12.248,0.024,-0.3,0.92,18.477,0.0263
LMC,1.334,11.491,0.034,-0.3,0.92,18.477,0.0263
LMC,1.191,12.198,0.034,-0.3,0.92,18.477,0.0263
LMC,1.504,10.928,0.036,-0.3,0.92,18.477,0.0263
LMC,1.144,12.111,0.027,-0.3,0.92,18.477,0.0263
LMC,0.939,12.846,0.03,-0.3,0.92,18.477,0.0263
LMC,1.372,11.463,0.022,-0.3,0.92,18.477,0.0263
LMC,1.118,12.357,0.028,-0.3,0.92,18.477,0.0263
LMC,0.782,13.356,0.031,-0.3,0.92,18.477,0.0263
LMC,0.972,12.917,0.028,-0.3,0.92,18.477,0.0263
LMC,0.832,13.193,0.03,-0.3,0.92,18.477,0.0263
LMC,0.885,13.123,0.025,-0.3,0.92,18.477,0.0263
LMC,0.889,12.939,0.022,-0.3,0.92,18.477,0.0263
LMC,0.872,13.0,0.025,-0.3,0.92,18.477,0.0263
LMC,1.448,11.325,0.027,-0.3,0.92,18.477,0.0263
LMC,0.867,13.167,0.039,-0.3,0.92,18.477,0.0263
